Address,Function,Instruction
.text:0000000180163BB3,NtDisableLastKnownGood, 0E3h
.text:0000000180163BD3,ZwDisplayString, 0E4h
.text:0000000180163BF3,NtDrawText, 0E5h
.text:0000000180163C13,NtEnableLastKnownGood, 0E6h
.text:0000000180163C33,NtEnumerateBootEntries, 0E7h
.text:0000000180163C53,ZwEnumerateDriverEntries, 0E8h
.text:0000000180163C73,NtEnumerateSystemEnvironmentValuesEx, 0E9h
.text:0000000180163C93,NtEnumerateTransactionObject, 0EAh
.text:0000000180163CB3,NtExtendSection, 0EBh
.text:0000000180163CD3,ZwFilterBootOption, 0ECh
.text:0000000180163CF3,ZwFilterToken, 0EDh
.text:0000000180163D13,ZwFilterTokenEx, 0EEh
.text:0000000180163D33,ZwFlushBuffersFileEx, 0EFh
.text:0000000180163D53,NtFlushInstallUILanguage, 0F0h
.text:0000000180163D73,NtFlushInstructionCache, 0F1h
.text:0000000180163D93,ZwFlushKey, 0F2h
.text:0000000180163DB3,ZwFlushProcessWriteBuffers, 0F3h
.text:0000000180163DD3,ZwFlushVirtualMemory, 0F4h
.text:0000000180163DF3,NtFlushWriteBuffer, 0F5h
.text:0000000180163E13,ZwFreeUserPhysicalPages, 0F6h
.text:0000000180163E33,NtFreezeRegistry, 0F7h
.text:0000000180163E53,ZwFreezeTransactions, 0F8h
.text:0000000180163E73,NtGetCachedSigningLevel, 0F9h
.text:0000000180163E93,NtGetCompleteWnfStateSubscription, 0FAh
.text:0000000180163EB3,ZwGetContextThread, 0FBh
.text:0000000180163ED3,ZwGetCurrentProcessorNumber, 0FCh
.text:0000000180163EF3,NtGetCurrentProcessorNumberEx, 0FDh
.text:0000000180163F13,ZwGetDevicePowerState, 0FEh
.text:0000000180163F33,ZwGetMUIRegistryInfo, 0FFh
.text:0000000180163F53,NtGetNextProcess, 100h
.text:0000000180163F73,ZwGetNextThread, 101h
.text:0000000180163F93,ZwGetNlsSectionPtr, 102h
.text:0000000180163FB3,NtGetNotificationResourceManager, 103h
.text:0000000180163FD3,ZwGetWriteWatch, 104h
.text:0000000180163FF3,ZwImpersonateAnonymousToken, 105h
.text:0000000180164013,ZwImpersonateThread, 106h
.text:0000000180164033,ZwInitializeEnclave, 107h
.text:0000000180164053,NtInitializeNlsFiles, 108h
.text:0000000180164073,NtInitializeRegistry, 109h
.text:0000000180164093,NtInitiatePowerAction, 10Ah
.text:00000001801640B3,ZwIsSystemResumeAutomatic, 10Bh
.text:00000001801640D3,NtIsUILanguageComitted, 10Ch
.text:00000001801640F3,NtListenPort, 10Dh
.text:0000000180164113,ZwLoadDriver, 10Eh
.text:0000000180164133,NtLoadEnclaveData, 10Fh
.text:0000000180164153,NtLoadKey, 110h
.text:0000000180164173,ZwLoadKey2, 111h
.text:0000000180164193,ZwLoadKey3, 112h
.text:00000001801641B3,NtLoadKeyEx, 113h
.text:00000001801641D3,ZwLockFile, 114h
.text:00000001801641F3,NtLockProductActivationKeys, 115h
.text:0000000180164213,ZwLockRegistryKey, 116h
.text:0000000180164233,NtLockVirtualMemory, 117h
.text:0000000180164253,NtMakePermanentObject, 118h
.text:0000000180164273,NtMakeTemporaryObject, 119h
.text:0000000180164293,ZwManageHotPatch, 11Ah
.text:00000001801642B3,ZwManagePartition, 11Bh
.text:00000001801642D3,NtMapCMFModule, 11Ch
.text:00000001801642F3,NtMapUserPhysicalPages, 11Dh
.text:0000000180164313,ZwMapViewOfSectionEx, 11Eh
.text:0000000180164333,NtModifyBootEntry, 11Fh
.text:0000000180164353,ZwModifyDriverEntry, 120h
.text:0000000180164373,NtNotifyChangeDirectoryFile, 121h
.text:0000000180164393,NtNotifyChangeDirectoryFileEx, 122h
.text:00000001801643B3,ZwNotifyChangeKey, 123h
.text:00000001801643D3,NtNotifyChangeMultipleKeys, 124h
.text:00000001801643F3,NtNotifyChangeSession, 125h
.text:0000000180164413,ZwOpenCpuPartition, 126h
.text:0000000180164433,NtOpenEnlistment, 127h
.text:0000000180164453,ZwOpenEventPair, 128h
.text:0000000180164473,NtOpenIoCompletion, 129h
.text:0000000180164493,NtOpenJobObject, 12Ah
.text:00000001801644B3,NtOpenKeyEx, 12Bh
.text:00000001801644D3,ZwOpenKeyTransacted, 12Ch
.text:00000001801644F3,ZwOpenKeyTransactedEx, 12Dh
.text:0000000180164513,NtOpenKeyedEvent, 12Eh
.text:0000000180164533,NtOpenMutant, 12Fh
.text:0000000180164553,ZwOpenObjectAuditAlarm, 130h
.text:0000000180164573,NtOpenPartition, 131h
.text:0000000180164593,NtOpenPrivateNamespace, 132h
.text:00000001801645B3,NtOpenProcessToken, 133h
.text:00000001801645D3,ZwOpenRegistryTransaction, 134h
.text:00000001801645F3,NtOpenResourceManager, 135h
.text:0000000180164613,ZwOpenSemaphore, 136h
.text:0000000180164633,ZwOpenSession, 137h
.text:0000000180164653,ZwOpenSymbolicLinkObject, 138h
.text:0000000180164673,ZwOpenThread, 139h
.text:0000000180164693,ZwOpenTimer, 13Ah
.text:00000001801646B3,ZwOpenTransaction, 13Bh
.text:00000001801646D3,NtOpenTransactionManager, 13Ch
.text:00000001801646F3,ZwPlugPlayControl, 13Dh
.text:0000000180164713,ZwPrePrepareComplete, 13Eh
.text:0000000180164733,NtPrePrepareEnlistment, 13Fh
.text:0000000180164753,ZwPrepareComplete, 140h
.text:0000000180164773,ZwPrepareEnlistment, 141h
.text:0000000180164793,ZwPrivilegeCheck, 142h
.text:00000001801647B3,NtPrivilegeObjectAuditAlarm, 143h
.text:00000001801647D3,ZwPrivilegedServiceAuditAlarm, 144h
.text:00000001801647F3,NtPropagationComplete, 145h
.text:0000000180164813,NtPropagationFailed, 146h
.text:0000000180164833,NtPssCaptureVaSpaceBulk, 147h
.text:0000000180164853,ZwPulseEvent, 148h
.text:0000000180164873,NtQueryAuxiliaryCounterFrequency, 149h
.text:0000000180164893,ZwQueryBootEntryOrder, 14Ah
.text:00000001801648B3,NtQueryBootOptions, 14Bh
.text:00000001801648D3,ZwQueryDebugFilterState, 14Ch
.text:00000001801648F3,NtQueryDirectoryFileEx, 14Dh
.text:0000000180164913,ZwQueryDirectoryObject, 14Eh
.text:0000000180164933,NtQueryDriverEntryOrder, 14Fh
.text:0000000180164953,ZwQueryEaFile, 150h
.text:0000000180164973,NtQueryFullAttributesFile, 151h
